event,date
New Year's Day,01/01/2019
New Year's Day,01/01/2020
New Year's Day,01/01/2021
New Year's Day,03/01/2022
New Year's Day,02/01/2023
New Year's Day,01/01/2024
New Year's Day,01/01/2025
Family Day (various names/dates by province),18/02/2019
Family Day (various names/dates by province),17/02/2020
Family Day (various names/dates by province),15/02/2021
Family Day (various names/dates by province),21/02/2022
Family Day (various names/dates by province),20/02/2023
Family Day (various names/dates by province),19/02/2024
Family Day (various names/dates by province),17/02/2025
Good Friday,19/04/2019
Good Friday,10/04/2020
Good Friday,02/04/2021
Good Friday,15/04/2022
Good Friday,07/04/2023
Good Friday,29/03/2024
Good Friday,18/04/2025
Victoria Day (National Patriots' Day in QC),20/05/2019
Victoria Day (National Patriots' Day in QC),18/05/2020
Victoria Day (National Patriots' Day in QC),24/05/2021
Victoria Day (National Patriots' Day in QC),23/05/2022
Victoria Day (National Patriots' Day in QC),22/05/2023
Victoria Day (National Patriots' Day in QC),20/05/2024
Victoria Day (National Patriots' Day in QC),19/05/2025
Canada Day,01/07/2019
Canada Day,01/07/2020
Canada Day,01/07/2021
Canada Day,01/07/2022
Canada Day,03/07/2023
Canada Day,01/07/2024
Canada Day,01/07/2025
Civic Holiday (various names/optional by province),05/08/2019
Civic Holiday (various names/optional by province),03/08/2020
Civic Holiday (various names/optional by province),02/08/2021
Civic Holiday (various names/optional by province),01/08/2022
Civic Holiday (various names/optional by province),07/08/2023
Civic Holiday (various names/optional by province),05/08/2024
Civic Holiday (various names/optional by province),04/08/2025
Labour Day,02/09/2019
Labour Day,07/09/2020
Labour Day,06/09/2021
Labour Day,05/09/2022
Labour Day,04/09/2023
Labour Day,02/09/2024
Labour Day,01/09/2025
National Day for Truth and Reconciliation (Federal holiday since 2021),30/09/2021
National Day for Truth and Reconciliation (Federal holiday since 2021),30/09/2022
National Day for Truth and Reconciliation (Federal holiday since 2021),30/09/2023
National Day for Truth and Reconciliation (Federal holiday since 2021),30/09/2024
National Day for Truth and Reconciliation (Federal holiday since 2021),30/09/2025
Thanksgiving Day,14/10/2019
Thanksgiving Day,12/10/2020
Thanksgiving Day,11/10/2021
Thanksgiving Day,10/10/2022
Thanksgiving Day,09/10/2023
Thanksgiving Day,14/10/2024
Thanksgiving Day,13/10/2025
Remembrance Day,11/11/2019
Remembrance Day,11/11/2020
Remembrance Day,11/11/2021
Remembrance Day,11/11/2022
Remembrance Day,11/11/2023
Remembrance Day,11/11/2024
Remembrance Day,11/11/2025
Christmas Day,25/12/2019
Christmas Day,25/12/2020
Christmas Day,27/12/2021
Christmas Day,26/12/2022
Christmas Day,25/12/2023
Christmas Day,25/12/2024
Christmas Day,25/12/2025
Boxing Day,26/12/2019
Boxing Day,28/12/2020
Boxing Day,28/12/2021
Boxing Day,26/12/2022
Boxing Day,26/12/2023
Boxing Day,26/12/2024
Boxing Day,26/12/2025
